Channel,Group,Source,Link
山东卫视,weishi,,http://183.207.249.111/ott.js.chinamobile.com/PLTV/3/224/3221227448/index.m3u8
山东卫视,weishi,,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8
山东卫视,weishi,,http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221227517/index.m3u8
广东卫视,weishi,,http://183.207.249.103/ott.js.chinamobile.com/PLTV/3/224/3221227399/index.m3u8
广东卫视,weishi,,http://183.207.248.136/ott.js.chinamobile.com/PLTV/3/224/3221227249/index.m3u8
广东卫视,weishi,,http://223.110.235.7/ott.js.chinamobile.com/PLTV/3/224/3221227591/index.m3u8
广东卫视,weishi,,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227673/index.m3u8
广东卫视,weishi,,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227691/index.m3u8
广东卫视,weishi,,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228230/index.m3u8
广东卫视,weishi,,http://183.207.249.140/ott.js.chinamobile.com/PLTV/3/224/3221227445/index.m3u8
广东卫视,weishi,,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227476/index.m3u8
广西卫视,weishi,,http://223.110.235.27/ott.js.chinamobile.com/PLTV/3/224/3221228183/index.m3u8
新疆卫视,weishi,,http://223.110.236.55/ott.js.chinamobile.com/PLTV/3/224/3221228290/index.m3u8
江苏卫视,weishi,,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228251/index.m3u8
江苏卫视,weishi,,http://183.207.249.135/ott.js.chinamobile.com/PLTV/3/224/3221227402/index.m3u8
江苏卫视,weishi,,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227736/index.m3u8
江苏卫视,weishi,,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227739/index.m3u8
江苏卫视,weishi,,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227792/index.m3u8
江苏卫视,weishi,,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8
江苏卫视,weishi,,http://223.110.236.5/ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
江苏卫视,weishi,,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227668/index.m3u8
江苏卫视,weishi,,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227689/index.m3u8
江苏卫视,weishi,,http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227185/index.m3u8
江苏卫视,weishi,,http://183.207.249.103/ott.js.chinamobile.com/PLTV/3/224/3221227439/index.m3u8
江苏卫视,weishi,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228099/index.m3u8
江苏卫视,weishi,,http://183.207.249.203/ott.js.chinamobile.com/PLTV/3/224/3221227552/index.m3u8
江苏卫视,weishi,,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221228097/index.m3u8
江西卫视,weishi,,http://183.207.249.103/ott.js.chinamobile.com/PLTV/3/224/3221225536/index.m3u8
江西卫视,weishi,,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227738/index.m3u8
江西卫视,weishi,,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221228109/index.m3u8
河北卫视,weishi,,http://223.110.236.9/ott.js.chinamobile.com/PLTV/3/224/3221228106/index.m3u8
河南卫视,weishi,,http://223.110.236.9/ott.js.chinamobile.com/PLTV/3/224/3221228221/index.m3u8
浙江卫视,weishi,,http://223.110.236.16/ott.js.chinamobile.com/PLTV/3/224/3221228180/index.m3u8
浙江卫视,weishi,,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
浙江卫视,weishi,,http://183.207.249.133/ott.js.chinamobile.com/PLTV/3/224/3221227215/index.m3u8
